item_id,reward_category,reward_type,reward_value
item_0035,shopping,tip,0.0
item_0286,finance,tip,0.0
item_0306,education,tip,0.0
item_0146,finance,percentage_discount,43.98
item_0004,education,course,0.0
item_0323,finance,free_shipping,0.0
item_0190,shopping,tip,0.0
item_0223,education,course,0.0
item_0234,shopping,free_shipping,0.0
item_0405,education,free_shipping,0.0
item_0292,entertainment,tip,0.0
item_0021,entertainment,tip,0.0
item_0060,shopping,course,0.0
item_0179,education,free_shipping,0.0
item_0166,finance,free_shipping,0.0
item_0496,shopping,percentage_discount,0.38
item_0283,education,tip,0.0
item_0255,finance,cashback,6.66
item_0273,shopping,course,0.0
item_0045,shopping,free_shipping,0.0
item_0449,shopping,free_shipping,0.0
item_0129,education,cashback,22.21
item_0300,finance,free_shipping,0.0
item_0149,education,cashback,26.02
item_0357,education,tip,0.0
item_0352,education,cashback,11.81
item_0318,education,course,0.0
item_0410,finance,cashback,49.56
item_0487,finance,course,0.0
item_0383,shopping,free_shipping,0.0
item_0238,entertainment,course,0.0
item_0249,entertainment,cashback,33.56
item_0204,finance,cashback,23.39
item_0484,entertainment,percentage_discount,40.27
item_0363,entertainment,tip,0.0
item_0227,entertainment,percentage_discount,28.23
item_0054,finance,percentage_discount,49.98
item_0122,finance,cashback,45.15
item_0456,finance,percentage_discount,8.65
item_0485,entertainment,percentage_discount,21.23
item_0006,shopping,cashback,13.86
item_0483,entertainment,course,0.0
item_0379,finance,percentage_discount,20.51
item_0267,entertainment,course,0.0
item_0128,entertainment,percentage_discount,10.39
item_0380,entertainment,free_shipping,0.0
item_0067,shopping,course,0.0
item_0334,shopping,percentage_discount,48.54
item_0185,shopping,free_shipping,0.0
item_0430,education,cashback,43.92
item_0008,finance,tip,0.0
item_0076,finance,percentage_discount,4.1
item_0024,education,percentage_discount,0.9
item_0217,entertainment,tip,0.0
item_0078,entertainment,free_shipping,0.0
item_0201,education,course,0.0
item_0400,entertainment,percentage_discount,40.96
item_0002,education,cashback,37.28
item_0476,education,course,0.0
item_0473,entertainment,tip,0.0
item_0188,finance,tip,0.0
item_0232,entertainment,tip,0.0
item_0199,finance,free_shipping,0.0
item_0236,entertainment,free_shipping,0.0
item_0416,entertainment,tip,0.0
item_0422,finance,course,0.0
item_0176,shopping,cashback,40.29
item_0465,entertainment,course,0.0
item_0335,education,course,0.0
item_0184,entertainment,course,0.0
item_0030,finance,percentage_discount,16.59
item_0275,education,tip,0.0
item_0209,finance,course,0.0
item_0291,shopping,cashback,27.98
item_0437,entertainment,tip,0.0
item_0329,education,course,0.0
item_0005,education,percentage_discount,42.89
item_0073,finance,percentage_discount,43.93
item_0268,education,percentage_discount,49.08
item_0085,education,cashback,23.78
item_0171,entertainment,course,0.0
item_0118,shopping,percentage_discount,20.27
item_0414,shopping,cashback,6.75
item_0472,entertainment,free_shipping,0.0
item_0074,shopping,tip,0.0
item_0261,finance,percentage_discount,18.87
item_0178,entertainment,tip,0.0
item_0468,education,free_shipping,0.0
item_0269,finance,percentage_discount,17.46
item_0131,finance,cashback,31.25
item_0358,finance,free_shipping,0.0
item_0320,education,tip,0.0
item_0271,finance,tip,0.0
item_0151,finance,course,0.0
item_0308,finance,tip,0.0
item_0384,education,percentage_discount,9.52
item_0499,entertainment,free_shipping,0.0
item_0408,entertainment,free_shipping,0.0
item_0107,finance,cashback,2.61
item_0098,shopping,tip,0.0
item_0015,education,cashback,48.38
item_0331,finance,cashback,45.44
item_0061,entertainment,free_shipping,0.0
item_0142,entertainment,course,0.0
item_0500,entertainment,free_shipping,0.0
item_0350,education,free_shipping,0.0
item_0123,finance,cashback,46.44
item_0115,shopping,free_shipping,0.0
item_0053,shopping,course,0.0
item_0248,education,course,0.0
item_0099,finance,course,0.0
item_0162,finance,cashback,22.23
item_0124,shopping,course,0.0
item_0403,shopping,free_shipping,0.0
item_0105,education,cashback,2.71
item_0464,entertainment,tip,0.0
item_0001,shopping,tip,0.0
item_0433,entertainment,course,0.0
item_0170,shopping,course,0.0
item_0161,shopping,cashback,34.8
item_0072,shopping,tip,0.0
item_0173,education,free_shipping,0.0
item_0385,entertainment,percentage_discount,0.88
item_0296,finance,cashback,42.36
item_0452,shopping,cashback,14.91
item_0082,finance,course,0.0
item_0086,finance,course,0.0
item_0169,entertainment,free_shipping,0.0
item_0016,finance,cashback,32.17
item_0145,entertainment,percentage_discount,0.08
item_0032,entertainment,cashback,32.38
item_0470,shopping,percentage_discount,41.91
item_0446,finance,cashback,44.09
item_0418,finance,tip,0.0
item_0242,entertainment,cashback,41.92
item_0330,shopping,percentage_discount,42.49
item_0025,education,free_shipping,0.0
item_0093,education,free_shipping,0.0
item_0310,entertainment,free_shipping,0.0
item_0109,finance,cashback,27.84
item_0026,finance,tip,0.0
item_0252,shopping,percentage_discount,10.84
item_0367,education,percentage_discount,45.77
item_0174,shopping,course,0.0
item_0319,education,cashback,49.28
item_0307,entertainment,cashback,43.33
item_0153,shopping,free_shipping,0.0
item_0347,entertainment,course,0.0
item_0239,education,course,0.0
item_0064,finance,course,0.0
item_0461,entertainment,course,0.0
item_0228,shopping,tip,0.0
item_0125,education,free_shipping,0.0
item_0369,education,tip,0.0
item_0036,entertainment,percentage_discount,10.06
item_0474,shopping,tip,0.0
item_0458,finance,free_shipping,0.0
item_0059,shopping,cashback,19.26
item_0495,entertainment,percentage_discount,46.79
item_0168,finance,tip,0.0
item_0022,entertainment,free_shipping,0.0
item_0397,shopping,cashback,44.71
item_0265,finance,cashback,11.73
item_0180,education,tip,0.0
item_0229,education,free_shipping,0.0
item_0215,finance,course,0.0
item_0285,entertainment,percentage_discount,44.8
item_0270,education,free_shipping,0.0
item_0305,finance,cashback,47.53
item_0058,shopping,cashback,25.25
item_0467,shopping,free_shipping,0.0
item_0338,education,free_shipping,0.0
item_0049,education,percentage_discount,43.99
item_0114,education,tip,0.0
item_0360,education,course,0.0
item_0317,education,percentage_discount,44.99
item_0457,entertainment,cashback,14.64
item_0311,finance,tip,0.0
item_0089,shopping,free_shipping,0.0
item_0281,entertainment,cashback,3.73
item_0055,finance,cashback,2.71
item_0048,education,percentage_discount,34.44
item_0210,education,free_shipping,0.0
item_0057,entertainment,percentage_discount,23.33
item_0141,entertainment,free_shipping,0.0
item_0213,shopping,course,0.0
item_0068,finance,cashback,36.52
item_0294,education,cashback,49.68
item_0439,entertainment,percentage_discount,46.96
item_0127,shopping,cashback,10.79
item_0023,entertainment,tip,0.0
item_0147,entertainment,percentage_discount,31.03
item_0033,entertainment,percentage_discount,32.8
item_0395,shopping,free_shipping,0.0
item_0117,finance,tip,0.0
item_0065,entertainment,free_shipping,0.0
item_0144,entertainment,tip,0.0
item_0182,shopping,free_shipping,0.0
item_0279,education,percentage_discount,47.47
item_0362,entertainment,course,0.0
item_0220,finance,tip,0.0
item_0386,entertainment,cashback,37.31
item_0034,entertainment,percentage_discount,44.86
item_0427,shopping,cashback,14.85
item_0426,entertainment,tip,0.0
item_0052,shopping,course,0.0
item_0084,finance,percentage_discount,44.48
item_0137,finance,percentage_discount,18.6
item_0388,education,course,0.0
item_0428,education,cashback,41.45
item_0301,finance,free_shipping,0.0
item_0259,education,cashback,7.9
item_0163,entertainment,percentage_discount,24.6
item_0326,education,cashback,10.86
item_0375,education,percentage_discount,25.9
item_0277,education,cashback,49.27
item_0007,shopping,percentage_discount,35.17
item_0222,finance,free_shipping,0.0
item_0361,finance,free_shipping,0.0
item_0031,shopping,cashback,8.37
item_0029,education,course,0.0
item_0194,education,free_shipping,0.0
item_0240,education,free_shipping,0.0
item_0264,shopping,cashback,39.13
item_0344,entertainment,tip,0.0
item_0276,finance,cashback,21.32
item_0321,finance,cashback,21.01
item_0253,education,course,0.0
item_0135,entertainment,course,0.0
item_0140,education,free_shipping,0.0
item_0429,entertainment,tip,0.0
item_0417,finance,free_shipping,0.0
item_0070,finance,percentage_discount,21.38
item_0245,shopping,percentage_discount,24.63
item_0342,entertainment,cashback,15.56
item_0394,education,free_shipping,0.0
item_0378,entertainment,course,0.0
item_0037,entertainment,tip,0.0
item_0197,education,free_shipping,0.0
item_0404,education,free_shipping,0.0
item_0192,finance,cashback,15.8
item_0042,education,percentage_discount,14.64
item_0274,entertainment,free_shipping,0.0
item_0148,entertainment,free_shipping,0.0
item_0134,finance,course,0.0
item_0246,education,tip,0.0
item_0050,entertainment,percentage_discount,40.76
item_0493,shopping,tip,0.0
item_0415,entertainment,course,0.0
item_0469,finance,free_shipping,0.0
item_0183,entertainment,cashback,28.47
item_0237,education,percentage_discount,14.68
item_0411,entertainment,free_shipping,0.0
item_0489,education,cashback,6.36
item_0110,shopping,percentage_discount,49.88
item_0327,entertainment,tip,0.0
item_0460,entertainment,percentage_discount,3.93
item_0231,shopping,cashback,36.88
item_0339,entertainment,free_shipping,0.0
item_0287,entertainment,course,0.0
item_0104,education,course,0.0
item_0071,finance,course,0.0
item_0112,entertainment,course,0.0
item_0019,finance,percentage_discount,26.35
item_0432,entertainment,cashback,46.88
item_0391,education,cashback,27.55
item_0143,entertainment,tip,0.0
item_0309,education,percentage_discount,15.22
item_0046,shopping,course,0.0
item_0051,education,free_shipping,0.0
item_0063,education,free_shipping,0.0
item_0133,education,tip,0.0
item_0396,shopping,course,0.0
item_0113,entertainment,cashback,1.82
item_0451,education,percentage_discount,31.66
item_0120,shopping,percentage_discount,3.01
item_0492,education,cashback,33.11
item_0425,finance,tip,0.0
item_0497,finance,free_shipping,0.0
item_0258,entertainment,course,0.0
item_0066,shopping,percentage_discount,5.94
item_0303,entertainment,cashback,39.97
item_0387,finance,course,0.0
item_0373,entertainment,tip,0.0
item_0226,education,percentage_discount,43.2
item_0216,finance,course,0.0
item_0211,finance,free_shipping,0.0
item_0119,entertainment,course,0.0
item_0312,finance,free_shipping,0.0
item_0420,finance,tip,0.0
item_0041,finance,free_shipping,0.0
item_0393,shopping,cashback,47.16
item_0341,entertainment,cashback,10.48
item_0095,education,free_shipping,0.0
item_0212,finance,percentage_discount,47.1
item_0138,education,cashback,30.76
item_0450,finance,course,0.0
item_0205,finance,percentage_discount,20.59
item_0043,entertainment,cashback,40.36
item_0481,entertainment,cashback,23.33
item_0230,finance,percentage_discount,49.26
item_0353,finance,percentage_discount,7.12
item_0087,finance,percentage_discount,8.61
item_0081,entertainment,course,0.0
item_0102,shopping,percentage_discount,24.11
item_0471,education,course,0.0
item_0207,education,free_shipping,0.0
item_0480,finance,percentage_discount,38.63
item_0214,finance,tip,0.0
item_0479,shopping,cashback,48.1
item_0225,shopping,course,0.0
item_0011,entertainment,cashback,43.68
item_0491,shopping,cashback,33.92
item_0356,education,course,0.0
item_0298,shopping,tip,0.0
item_0155,education,course,0.0
item_0436,entertainment,tip,0.0
item_0349,education,percentage_discount,29.76
item_0013,shopping,cashback,36.18
item_0398,education,free_shipping,0.0
item_0079,shopping,free_shipping,0.0
item_0100,shopping,free_shipping,0.0
item_0351,finance,course,0.0
item_0009,education,course,0.0
item_0012,education,free_shipping,0.0
item_0402,education,free_shipping,0.0
item_0094,education,tip,0.0
item_0431,education,free_shipping,0.0
item_0366,shopping,course,0.0
item_0315,education,free_shipping,0.0
item_0272,shopping,tip,0.0
item_0260,shopping,percentage_discount,24.83
item_0014,education,free_shipping,0.0
item_0092,entertainment,percentage_discount,18.5
item_0132,finance,course,0.0
item_0354,shopping,tip,0.0
item_0478,shopping,percentage_discount,21.9
item_0278,shopping,percentage_discount,15.17
item_0376,entertainment,course,0.0
item_0364,entertainment,cashback,13.68
item_0040,finance,percentage_discount,26.53
item_0159,finance,course,0.0
item_0003,finance,percentage_discount,27.42
item_0257,education,tip,0.0
item_0302,finance,free_shipping,0.0
item_0097,education,course,0.0
item_0189,finance,tip,0.0
item_0377,shopping,tip,0.0
item_0154,shopping,percentage_discount,28.58
item_0401,education,percentage_discount,48.93
item_0235,entertainment,tip,0.0
item_0441,shopping,free_shipping,0.0
item_0191,education,percentage_discount,1.93
item_0056,education,tip,0.0
item_0293,finance,percentage_discount,11.73
item_0440,entertainment,cashback,12.2
item_0062,entertainment,free_shipping,0.0
item_0136,shopping,percentage_discount,20.28
item_0088,shopping,course,0.0
item_0256,shopping,cashback,19.76
item_0325,shopping,tip,0.0
item_0167,finance,course,0.0
item_0106,entertainment,cashback,16.73
item_0424,finance,cashback,27.48
item_0219,finance,tip,0.0
item_0448,shopping,course,0.0
item_0454,education,cashback,26.38
item_0299,education,percentage_discount,13.38
item_0488,entertainment,free_shipping,0.0
item_0371,education,cashback,27.82
item_0290,education,course,0.0
item_0150,shopping,course,0.0
item_0069,education,tip,0.0
item_0090,entertainment,tip,0.0
item_0336,shopping,cashback,47.49
item_0044,education,percentage_discount,29.87
item_0156,finance,percentage_discount,36.24
item_0288,shopping,tip,0.0
item_0382,shopping,free_shipping,0.0
item_0284,finance,course,0.0
item_0152,shopping,percentage_discount,14.86
item_0165,finance,cashback,14.35
item_0101,finance,cashback,8.41
item_0421,finance,free_shipping,0.0
item_0187,entertainment,percentage_discount,3.8
item_0419,shopping,cashback,5.73
item_0343,entertainment,cashback,25.84
item_0198,finance,cashback,21.18
item_0412,entertainment,tip,0.0
item_0346,education,tip,0.0
item_0444,education,cashback,22.35
item_0475,finance,course,0.0
item_0039,shopping,tip,0.0
item_0263,entertainment,free_shipping,0.0
item_0389,entertainment,tip,0.0
item_0409,education,cashback,44.07
item_0250,entertainment,tip,0.0
item_0126,shopping,tip,0.0
item_0322,finance,course,0.0
item_0365,entertainment,free_shipping,0.0
item_0077,shopping,tip,0.0
item_0157,entertainment,percentage_discount,9.95
item_0010,finance,percentage_discount,43.89
item_0381,education,cashback,33.97
item_0340,finance,course,0.0
item_0091,shopping,cashback,4.06
item_0224,shopping,free_shipping,0.0
item_0020,entertainment,percentage_discount,48.7
item_0390,shopping,tip,0.0
item_0466,entertainment,cashback,8.12
item_0075,shopping,tip,0.0
item_0333,entertainment,percentage_discount,20.73
item_0345,entertainment,percentage_discount,29.45
item_0251,finance,tip,0.0
item_0096,finance,course,0.0
item_0103,finance,cashback,27.86
item_0244,shopping,course,0.0
item_0392,education,course,0.0
item_0130,finance,tip,0.0
item_0111,finance,percentage_discount,1.83
item_0442,entertainment,percentage_discount,43.89
item_0206,shopping,cashback,37.79
item_0193,finance,free_shipping,0.0
item_0494,shopping,course,0.0
item_0243,entertainment,cashback,8.08
item_0324,education,percentage_discount,13.47
item_0121,shopping,percentage_discount,13.75
item_0435,shopping,percentage_discount,34.2
item_0370,education,tip,0.0
item_0348,finance,percentage_discount,48.5
item_0447,education,free_shipping,0.0
item_0160,shopping,free_shipping,0.0
item_0445,education,course,0.0
item_0434,education,percentage_discount,23.13
item_0181,education,percentage_discount,32.28
item_0463,education,course,0.0
item_0407,finance,free_shipping,0.0
item_0368,entertainment,tip,0.0
item_0438,finance,cashback,38.41
item_0462,entertainment,percentage_discount,42.53
item_0186,entertainment,free_shipping,0.0
item_0423,finance,free_shipping,0.0
item_0080,education,tip,0.0
item_0200,education,cashback,35.8
item_0083,shopping,tip,0.0
item_0158,shopping,percentage_discount,15.52
item_0218,education,percentage_discount,20.22
item_0490,education,percentage_discount,5.51
item_0254,finance,cashback,12.28
item_0266,education,tip,0.0
item_0047,education,percentage_discount,19.55
item_0486,finance,course,0.0
item_0328,education,percentage_discount,0.65
item_0027,education,cashback,45.78
item_0202,education,tip,0.0
item_0295,entertainment,cashback,22.0
item_0332,education,cashback,31.94
item_0208,entertainment,tip,0.0
item_0028,finance,tip,0.0
item_0038,finance,tip,0.0
item_0399,education,percentage_discount,14.48
item_0314,entertainment,percentage_discount,18.56
item_0477,education,free_shipping,0.0
item_0108,shopping,cashback,10.57
item_0374,finance,cashback,25.5
item_0316,education,tip,0.0
item_0372,entertainment,cashback,3.73
item_0443,education,free_shipping,0.0
item_0116,shopping,course,0.0
item_0455,finance,percentage_discount,36.46
item_0413,shopping,free_shipping,0.0
item_0175,entertainment,free_shipping,0.0
item_0262,shopping,free_shipping,0.0
item_0241,finance,free_shipping,0.0
item_0195,entertainment,course,0.0
item_0203,finance,free_shipping,0.0
item_0498,education,free_shipping,0.0
item_0355,finance,course,0.0
item_0482,finance,percentage_discount,33.13
item_0313,finance,tip,0.0
item_0018,education,free_shipping,0.0
item_0282,shopping,percentage_discount,49.42
item_0017,shopping,tip,0.0
item_0196,shopping,tip,0.0
item_0359,education,tip,0.0
item_0233,education,course,0.0
item_0406,finance,course,0.0
item_0337,shopping,cashback,19.05
item_0164,finance,course,0.0
item_0139,finance,course,0.0
item_0247,shopping,course,0.0
item_0221,shopping,free_shipping,0.0
item_0177,shopping,free_shipping,0.0
item_0289,education,cashback,21.83
item_0280,shopping,cashback,29.72
item_0297,shopping,free_shipping,0.0
item_0172,shopping,cashback,16.92
item_0459,entertainment,course,0.0
item_0304,education,percentage_discount,38.13
item_0453,education,cashback,49.06
